ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
46605
ITEM: BOX BOUNDS pp pp ff
0.0000000000000000e+00 7.5204971283511398e+01
0.0000000000000000e+00 7.6781222183235400e+01
0.0000000000000000e+00 1.2000000000000000e+02
ITEM: ATOMS id type c_pot c_ket
4 1 -8.70362 0.0273783
6 1 -8.38115 0.00543895
7 1 -9.01545 0.028511
8 1 -9.15492 0.0420827
9 2 -36.1475 0.0321065
11 2 -33.3853 0.0271363
12 2 -34.0529 0.00209755
13 3 -8.44539 0.00751975
14 3 -9.12867 0.03424
15 3 -5.84326 0.0148833
16 3 -10.2067 0.0170748
17 3 -8.00421 0.00716157
18 3 -9.68105 0.0475277
19 3 -8.62825 0.015599
20 3 -8.43167 0.0149029
21 3 -7.42759 0.0102897
22 3 -9.85103 0.0450124
23 3 -9.04204 0.0324013
25 3 -8.75745 0.00946112
27 3 -9.63155 0.033643
28 3 -11.262 0.0441682
450 1 -9.61296 0.0112369
454 1 -12.3986 0.0489652
455 1 -9.53808 0.0182703
459 2 -37.4642 0.0218753
464 3 -7.75216 0.0175
467 3 -8.76339 0.0299834
470 3 -3.67296 0.00274817
471 3 -8.18785 0.0117816
475 3 -7.22065 0.0202192
32 1 -9.63557 0.00322841
33 1 -11.588 0.0624495
34 1 -10.7556 0.031084
35 1 -9.76407 0.0185597
36 1 -9.47822 0.0261301
37 2 -37.4417 0.122564
39 2 -35.866 0.0145929
40 2 -37.8442 0.014453
41 3 -9.22729 0.0670397
42 3 -7.89411 0.0377547
43 3 -5.07513 0.0149228
44 3 -8.71008 0.0424991
45 3 -7.29646 0.00784718
46 3 -7.63011 0.0815436
47 3 -9.12787 0.0223153
48 3 -8.20528 0.00889605
49 3 -7.24209 0.0343429
50 3 -5.39855 0.0286524
51 3 -8.54719 0.00409244
53 3 -8.5632 0.0583195
55 3 -7.98155 0.022413
56 3 -5.27131 0.0115483
478 1 -10.1303 0.0165816
482 1 -13.7672 0.0130478
483 1 -9.68477 0.0253948
487 2 -40.4125 0.0451042
492 3 -5.91294 0.00177834
495 3 -8.77235 0.116308
498 3 0.496765 0.00947367
499 3 -7.35807 0.00341063
503 3 -7.05866 0.014533
2 1 -7.9455 0.0706521
427 1 -9.31502 0.00851075
5 1 -8.48544 0.0284504
449 1 -5.84411 0.0290003
99 3 -10.2528 0.025618
517 3 -8.83695 0.0152794
533 1 -6.28543 0.0249922
559 3 -10.0166 0.0884803
555 3 -9.08888 0.118124
561 1 -5.10325 0.0184587
113 1 -7.15047 0.00121187
60 1 -9.97111 0.0151758
59 1 -8.72656 0.00906991
67 2 -38.9137 0.0332709
63 1 -9.67762 0.00486426
61 1 -11.4605 0.0345673
69 3 -8.36382 0.0145287
77 3 -7.56657 0.0243752
73 3 -6.47436 0.0161034
62 1 -12.361 0.0896945
64 1 -9.49096 0.0211274
65 2 -36.4551 0.0120389
70 3 -8.27481 0.0212837
68 2 -35.3532 0.023624
72 3 -6.43726 0.0158388
510 1 -11.2148 0.0341965
76 3 -8.50451 0.0976893
526 3 -2.24223 0.00675851
78 3 -3.34739 0.00201763
506 1 -9.47544 0.0599767
84 3 -7.63793 0.011715
511 1 -9.07736 0.0443101
74 3 -6.83392 0.0419224
81 3 -8.24624 0.0609937
79 3 -7.40674 0.0592328
515 2 -39.2308 0.0467728
88 1 -9.37227 0.0282512
91 1 -9.06252 0.0736923
523 3 -8.69126 0.0480995
96 2 -32.2043 0.0686778
531 3 -8.7523 0.0122743
97 3 -8.6552 0.0113889
83 3 -7.53822 0.0126472
520 3 -6.69605 0.0509477
98 3 -8.67806 0.018584
95 2 -38.3531 0.0413286
89 1 -10.4408 0.0032932
92 1 -9.11863 0.0650253
93 2 -35.1468 0.0554802
102 3 -6.92286 0.00186582
106 3 -2.13396 0.0155963
111 3 -8.76433 0.129293
71 3 -8.37559 0.00248612
548 3 -8.62638 0.0135352
534 1 -8.3847 0.0338401
109 3 -8.9125 0.0611181
100 3 -6.79178 0.018219
104 3 -9.08895 0.0274177
101 3 -7.71103 0.0539992
75 3 -8.95914 0.0201629
538 1 -8.59586 0.0290695
527 3 -7.96635 0.0446201
103 3 -8.71677 0.0978036
539 1 -8.68482 0.0159759
112 3 -8.79402 0.0737848
90 1 -11.4535 0.00856122
551 3 -8.82951 0.0512769
543 2 -35.4618 0.0444575
554 3 -8.98101 0.00257436
105 3 -8.65477 0.0175213
107 3 -8.11971 0.0251174
116 1 -7.91938 0.00941185
117 1 -8.7586 0.0513046
118 1 -7.74486 0.0485102
119 1 -8.85477 0.0256563
120 1 -8.84366 0.0284352
121 2 -33.2958 0.00885088
123 2 -35.2484 0.0522202
124 2 -24.6457 0.0153336
125 3 -9.2862 0.0314857
126 3 -9.4527 0.0445031
127 3 -13.3557 0.0159949
128 3 -9.47896 0.0939893
129 3 -12.9508 0.0418219
130 3 -8.79373 0.0721204
131 3 -9.15351 0.155244
132 3 -9.58733 0.0461709
133 3 -10.3016 0.2619
134 3 -7.11118 0.0736981
135 3 -9.02455 0.093511
137 3 -9.77351 0.0157327
139 3 -11.0515 0.0858296
140 3 -10.9357 0.0683631
562 1 -7.39376 0.0139528
566 1 -6.88436 0.0304152
567 1 -8.61853 0.0149725
571 2 -33.2684 0.0531098
576 3 -10.3615 0.0188301
579 3 -9.05652 0.011163
582 3 -8.76056 0.0241451
583 3 -9.56107 0.0407
587 3 -11.3683 0.0424967
144 1 -7.16781 0.00623152
145 1 -5.55282 0.00595461
146 1 -6.39845 0.00755938
147 1 -8.99759 0.0149895
148 1 -8.70739 0.0279036
149 2 -33.002 0.0411253
151 2 -31.2453 0.0089358
152 2 -19.5419 0.0769536
153 3 -9.25916 0.103431
154 3 -9.69103 0.0839012
155 3 -14.3838 0.0307217
156 3 -11.1409 0.0136561
157 3 -13.7454 0.0291608
158 3 -11.4607 0.0529358
159 3 -8.80884 0.0291773
160 3 -9.8226 0.0494418
161 3 -10.6485 0.00464423
162 3 -11.8211 0.0220533
163 3 -9.81085 0.0268951
165 3 -10.6235 0.0202432
167 3 -10.9141 0.0298186
168 3 -16.0491 0.0536822
590 1 -6.99774 0.0479978
594 1 -5.89776 0.0185581
595 1 -8.58004 0.0188612
599 2 -30.6939 0.0390062
604 3 -11.624 0.0915457
607 3 -8.84758 0.0282681
610 3 -12.5018 0.0830246
611 3 -10.3014 0.0548599
615 3 -11.115 0.0215647
141 1 -2.12849 0.0140911
143 1 -1.22664 0.0688105
589 1 -1.08358 0.0932583
171 1 -1.90294 0.0416463
191 3 -9.78731 0.13728
651 1 -9.6801 0.0199706
650 1 -7.24005 0.027092
221 3 -9.69241 0.0184839
667 3 -9.8912 0.0260742
660 3 -10.6485 0.0126742
617 1 -0.0684054 0.0163884
673 1 -4.06165 0.0874828
199 1 -2.72916 0.00528957
645 1 -0.921941 0.0356235
173 1 -5.717 0.0112332
174 1 -7.7076 0.0557715
210 3 -8.79443 0.0240219
170 1 -7.59038 0.0389241
179 2 -32.1232 0.0177549
175 1 -9.12247 0.0272194
189 3 -10.1884 0.0105406
182 3 -8.94428 0.021118
184 3 -10.2294 0.0206478
185 3 -12.8626 0.00693224
181 3 -8.74534 0.0208468
176 1 -8.81596 0.0141818
172 1 -7.5314 0.012436
190 3 -9.07998 0.0129041
187 3 -8.93885 0.0102954
618 1 -6.95632 0.00758047
622 1 -5.56031 0.0230154
188 3 -9.59224 0.00287614
183 3 -14.382 0.0903068
195 3 -10.2902 0.0245838
186 3 -10.763 0.0326411
623 1 -8.58763 0.0162213
196 3 -15.7966 0.0511776
204 1 -9.24772 0.0234137
202 1 -8.65885 0.00279826
193 3 -10.3745 0.0176068
177 2 -34.3233 0.0154359
635 3 -9.20227 0.0255064
643 3 -11.5482 0.00782707
201 1 -6.40915 0.00960925
632 3 -11.6815 0.0164653
638 3 -12.6212 0.0184361
203 1 -9.3452 0.0188989
207 2 -33.7173 0.00965231
214 3 -10.0846 0.0120852
215 3 -8.91448 0.0210787
180 2 -20.7537 0.0121481
217 3 -9.09499 0.0517256
198 1 -8.34742 0.018315
212 3 -9.38675 0.0175692
211 3 -12.4858 0.00496922
208 2 -23.1384 0.0250566
209 3 -8.94819 0.0385995
200 1 -8.11824 0.0540711
218 3 -7.88199 0.0226116
213 3 -11.5177 0.056021
639 3 -10.3106 0.0283059
663 3 -8.65272 0.00383787
205 2 -35.4463 0.024039
224 3 -14.863 0.0760972
223 3 -9.54584 0.0143921
216 3 -8.75907 0.00710482
219 3 -9.2369 0.053803
627 2 -30.7793 0.05588
646 1 -7.91835 0.0139474
655 2 -31.5341 0.0111763
666 3 -11.4654 0.0281016
671 3 -10.1235 0.0028665
228 1 -9.09892 0.00712866
229 1 -8.01783 0.0576106
230 1 -10.8956 0.129628
231 1 -9.58708 0.0268353
232 1 -9.48143 0.0301864
233 2 -35.7187 0.0126921
235 2 -35.8903 0.00636626
236 2 -30.1478 0.011256
237 3 -8.55072 0.0780494
238 3 -8.41226 0.0175857
239 3 -9.98529 0.0098877
240 3 -7.57823 0.0342672
241 3 -7.9274 0.0376646
242 3 -8.58504 0.104009
243 3 -8.87763 0.00641447
244 3 -8.791 0.0189024
245 3 -8.45157 0.0985206
246 3 -5.55912 0.00348086
247 3 -8.4662 0.0195818
249 3 -9.11396 0.00602987
251 3 -8.23611 0.0650133
252 3 -11.9673 0.0620742
674 1 -8.77878 0.152539
678 1 -9.15162 0.014498
679 1 -9.1132 0.0284211
683 2 -34.1559 0.0150767
